Property_Type,Property_Purpose,Baths,Bedrooms,City,Area,Area_Name,Property_Price
Flat,For Rent,5,5,Lahore,10.0,DHA Defence,200000
Flat,For Rent,5,5,Lahore,5.0,DHA Defence,60000
Flat,For Rent,1,1,Lahore,1.8,Bahria Town,55000
Flat,For Rent,1,1,Lahore,2.0,Bahria Town,37000
Flat,For Rent,3,3,Lahore,10.0,Askari,70000
Flat,For Rent,2,2,Lahore,3.6,Bahria Town,75000
Flat,For Rent,2,2,Lahore,4.0,Muslim Town,70000
Flat,For Rent,3,3,Lahore,10.0,Askari,60000
Flat,For Rent,1,1,Lahore,2.6,Bahria Town,33000
Flat,For Rent,1,1,Lahore,2.7,Johar Town,18000
Flat,For Rent,1,1,Lahore,2.6,Bahria Town,40000
Flat,For Rent,1,1,Lahore,2.1,Bahria Town,38000
Flat,For Rent,1,1,Lahore,2.7,Bahria Town,40000
Flat,For Rent,1,1,Lahore,2.6,Bahria Town,40000
Flat,For Rent,1,1,Lahore,2.6,Bahria Town,40000
Flat,For Rent,4,3,Lahore,10.0,Askari,77000
Flat,For Rent,3,3,Lahore,10.0,Askari,67000
Flat,For Sale,3,3,Lahore,10.0,Askari,30000000
Flat,For Sale,3,3,Lahore,10.0,Askari,30000000
Flat,For Sale,3,3,Lahore,11.0,Askari,30000000
Flat,For Sale,1,5,Lahore,1.6,Bahria Town,5700000
Flat,For Sale,1,1,Lahore,2.7,Bahria Town,9600000
Flat,For Sale,3,3,Lahore,10.0,Askari,30000000
Flat,For Sale,1,1,Lahore,2.6,Bahria Town,6500000
Flat,For Sale,2,2,Lahore,3.6,Bahria Town,8800000
Flat,For Sale,5,2,Lahore,7.8,Gulberg,50000000
Flat,For Sale,3,3,Lahore,10.0,Askari,30000000
Flat,For Sale,2,2,Lahore,4.0,DHA Defence,30000000
Flat,For Sale,1,1,Lahore,2.3,Bahria Town,7000000
Flat,For Sale,3,3,Lahore,10.0,Askari,30000000
Flat,For Sale,2,2,Lahore,4.5,Bahria Town,20000000
Flat,For Sale,3,3,Lahore,10.0,Askari,40000000
Flat,For Sale,3,3,Lahore,10.0,Askari,40000000
Flat,For Sale,3,3,Lahore,10.0,Askari,40000000
Flat,For Sale,3,3,Lahore,10.0,Askari,30000000
Flat,For Sale,3,3,Lahore,10.0,Askari,40000000
Flat,For Sale,3,3,Lahore,10.0,Askari,30000000
House,For Sale,6,5,Lahore,20.0,DHA Defence,60000000
House,For Sale,4,3,Lahore,5.0,DHA Defence,30000000
House,For Sale,4,3,Lahore,5.0,DHA Defence,30000000
House,For Sale,4,3,Lahore,7.0,DHA Defence,50000000
House,For Sale,6,5,Lahore,20.0,DHA Defence,130000000
House,For Sale,4,4,Lahore,5.0,Wapda Town,30000000
House,For Sale,5,5,Lahore,20.0,DHA Defence,80000000
House,For Sale,6,5,Lahore,20.0,DHA Defence,80000000
House,For Sale,5,5,Lahore,20.0,DHA Defence,70000000
House,For Sale,6,5,Lahore,20.0,DHA Defence,100000000
House,For Sale,5,5,Lahore,10.0,Architects Engineers Housing Society,40000000
House,For Sale,8,7,Lahore,10.0,Nasheman-e-Iqbal,30000000
House,For Sale,6,6,Lahore,20.0,DHA Defence,110000000
House,For Sale,6,6,Lahore,20.0,DHA Defence,70000000
House,For Sale,6,6,Lahore,20.0,DHA Defence,140000000
House,For Sale,3,2,Lahore,5.0,DHA Defence,30000000
House,For Sale,5,5,Lahore,20.0,DHA Defence,60000000
House,For Sale,5,4,Lahore,12.5,Divine Gardens,50000000
House,For Sale,5,5,Lahore,14.0,Divine Gardens,40000000
House,For Sale,5,4,Lahore,12.0,Divine Gardens,40000000
House,For Sale,5,4,Lahore,12.0,Divine Gardens,40000000
House,For Sale,4,3,Lahore,8.0,Divine Gardens,40000000
House,For Sale,4,3,Lahore,8.0,Divine Gardens,40000000
House,For Sale,5,4,Lahore,12.0,Divine Gardens,50000000
House,For Sale,4,4,Lahore,10.0,Divine Gardens,40000000
House,For Rent,4,3,Lahore,5.0,DHA Defence,62000
House,For Rent,4,3,Lahore,5.0,DHA Defence,63000
House,For Rent,3,3,Lahore,5.0,DHA Defence,65000
House,For Rent,3,3,Lahore,20.0,DHA Defence,90000
House,For Rent,4,3,Lahore,10.0,Askari,90000
House,For Rent,6,6,Lahore,60.0,Gulberg,900000
House,For Rent,6,6,Lahore,40.0,Gulberg,1200000
House,For Rent,6,5,Lahore,17.0,Askari,200000
House,For Rent,6,5,Lahore,20.0,DHA Defence,200000
House,For Rent,5,5,Lahore,20.0,DHA Defence,300000
House,For Rent,6,5,Lahore,20.0,DHA Defence,400000
House,For Rent,6,7,Lahore,20.0,DHA Defence,400000
House,For Rent,8,7,Lahore,20.0,DHA Defence,200000
House,For Rent,6,5,Lahore,20.0,DHA Defence,200000
House,For Rent,6,5,Lahore,20.0,DHA Defence,200000
House,For Rent,6,5,Lahore,20.0,DHA Defence,200000
House,For Rent,5,4,Lahore,20.0,DHA Defence,200000
House,For Rent,4,3,Lahore,7.0,DHA Defence,200000
House,For Rent,4,3,Lahore,5.0,DHA Defence,80000
House,For Rent,4,3,Lahore,5.0,State Life Housing Society,65000
House,For Rent,5,4,Lahore,20.0,DHA Defence,200000
House,For Rent,5,4,Lahore,10.0,DHA Defence,200000
House,For Rent,6,5,Lahore,20.0,DHA Defence,300000
House,For Rent,4,3,Lahore,5.0,DHA Defence,55000
House,For Rent,6,5,Lahore,20.0,DHA Defence,300000
Flat,For Rent,3,2,Lahore,5.3,DHA Defence,200000
Flat,For Rent,2,1,Lahore,4.4,DHA Defence,90000
Flat,For Rent,3,2,Lahore,7.2,DHA Defence,200000
Flat,For Rent,1,1,Lahore,2.3,Bahria Town,30000
Flat,For Rent,2,2,Lahore,4.0,Johar Town,35000
Flat,For Rent,1,1,Lahore,1.6,Johar Town,31000
Flat,For Rent,5,5,Lahore,10.0,DHA Defence,200000
Flat,For Rent,1,1,Lahore,2.6,Bahria Town,40000
Flat,For Rent,1,1,Lahore,3.9,DHA Defence,200000
Flat,For Rent,4,3,Lahore,10.0,Askari,82000
Flat,For Rent,1,1,Lahore,2.7,Bahria Town,38000
Flat,For Rent,3,3,Lahore,10.0,Askari,70000
Flat,For Rent,2,2,Lahore,5.0,Architects Engineers Housing Society,42000
Flat,For Rent,4,3,Lahore,10.0,Askari,68000
Flat,For Rent,1,5,Lahore,1.0,Johar Town,18000
Flat,For Rent,1,1,Lahore,2.2,Bahria Town,37000
Flat,For Rent,1,1,Lahore,3.9,DHA Defence,92000
Flat,For Rent,4,3,Lahore,10.0,Askari,65000
Flat,For Rent,4,3,Lahore,10.0,Askari,75000
Flat,For Rent,1,1,Lahore,2.5,Bahria Town,37000
Flat,For Rent,1,1,Lahore,2.6,Bahria Town,40000
Flat,For Rent,1,1,Lahore,2.7,Bahria Town,38000
Flat,For Rent,1,1,Lahore,2.7,Bahria Town,38000
Flat,For Rent,1,1,Lahore,2.4,Bahria Town,40000
Flat,For Rent,1,1,Lahore,2.3,Bahria Town,30000
Flat,For Sale,3,3,Lahore,10.0,Askari,30000000
Flat,For Sale,2,2,Lahore,3.9,Bahria Orchard,20000000
Flat,For Sale,1,1,Lahore,1.9,Bahria Orchard,6100000
Flat,For Sale,2,2,Lahore,3.9,Bahria Orchard,20000000
Flat,For Sale,1,1,Lahore,1.9,Bahria Orchard,6100000
Flat,For Sale,1,1,Lahore,1.9,Bahria Orchard,6500000
Flat,For Sale,2,2,Lahore,3.9,Bahria Orchard,20000000
Flat,For Sale,1,1,Lahore,2.0,Raiwind Road,6300000
Flat,For Sale,1,1,Lahore,1.8,Bahria Town,5000000
Flat,For Sale,2,2,Lahore,3.9,Bahria Orchard,20000000
Flat,For Sale,1,1,Lahore,1.9,Bahria Orchard,6100000
Flat,For Sale,3,3,Lahore,10.1,Askari,30000000
Flat,For Sale,3,3,Lahore,10.0,Askari,30000000
Flat,For Sale,3,3,Lahore,10.0,Askari,30000000
Flat,For Sale,3,3,Lahore,10.0,Askari,30000000
Flat,For Sale,3,3,Lahore,10.0,Askari,30000000
Flat,For Sale,3,3,Lahore,10.0,Askari,30000000
Flat,For Sale,3,3,Lahore,10.0,Askari,30000000
Flat,For Sale,3,3,Lahore,10.0,Askari,30000000
Flat,For Sale,3,3,Lahore,10.0,Askari,30000000
House,For Sale,6,5,Lahore,20.0,DHA Defence,90000000
House,For Sale,5,5,Lahore,10.0,State Life Housing Society,40000000
House,For Sale,4,3,Lahore,5.0,DHA Defence,30000000
House,For Sale,6,5,Lahore,20.0,DHA Defence,60000000
House,For Sale,6,5,Lahore,20.0,DHA Defence,70000000
House,For Sale,7,6,Lahore,12.0,Johar Town,70000000
House,For Sale,6,5,Lahore,10.0,Eden,40000000
House,For Sale,6,5,Lahore,10.0,DHA Defence,50000000
House,For Sale,6,5,Lahore,20.0,DHA Defence,80000000
House,For Sale,6,5,Lahore,10.0,Bahria Town,40000000
House,For Sale,6,6,Lahore,10.0,Nasheman-e-Iqbal,30000000
House,For Sale,5,5,Lahore,5.0,Nasheman-e-Iqbal,20000000
House,For Sale,6,5,Lahore,10.0,DHA Defence,60000000
House,For Sale,5,5,Lahore,20.0,DHA Defence,80000000
House,For Sale,5,5,Lahore,10.0,DHA Defence,60000000
House,For Sale,4,4,Lahore,10.0,DHA Defence,50000000
House,For Sale,3,3,Lahore,5.0,DHA Defence,30000000
House,For Sale,5,4,Lahore,12.0,Divine Gardens,50000000
House,For Sale,5,5,Lahore,20.0,Divine Gardens,80000000
House,For Sale,4,3,Lahore,8.0,Divine Gardens,30000000
House,For Sale,4,4,Lahore,12.0,Divine Gardens,40000000
House,For Sale,4,3,Lahore,5.0,Divine Gardens,30000000
House,For Sale,4,3,Lahore,8.0,Eden Avenue Extension,30000000
House,For Sale,3,3,Lahore,10.0,Eden Avenue Extension,40000000
House,For Sale,4,4,Lahore,12.0,Eden,40000000
House,For Rent,6,5,Lahore,20.0,DHA Defence,200000
House,For Rent,6,5,Lahore,20.0,DHA Defence,400000
House,For Rent,8,7,Lahore,40.0,DHA Defence,500000
House,For Rent,6,5,Lahore,10.0,Bahria Town,200000
House,For Rent,3,3,Lahore,5.0,Raiwind Road,65000
House,For Rent,5,3,Lahore,5.0,Bahria Orchard,50000
House,For Rent,5,4,Lahore,8.0,DHA Defence,200000
House,For Rent,6,5,Lahore,20.0,DHA Defence,400000
House,For Rent,5,4,Lahore,10.0,DHA Defence,200000
House,For Rent,6,5,Lahore,20.0,DHA Defence,300000
House,For Rent,5,4,Lahore,7.0,DHA Defence,200000
House,For Rent,4,3,Lahore,5.0,DHA Defence,65000
House,For Rent,4,3,Lahore,5.0,DHA Defence,49000
House,For Rent,5,4,Lahore,10.0,DHA 11 Rahbar,200000
House,For Rent,3,3,Lahore,10.0,Park View City,55000
House,For Rent,6,5,Lahore,20.0,DHA Defence,200000
House,For Rent,5,4,Lahore,10.0,DHA Defence,200000
House,For Rent,6,5,Lahore,40.0,TECH Society,500000
House,For Rent,4,4,Lahore,5.0,Johar Town,70000
House,For Rent,6,5,Lahore,12.0,Johar Town,200000
House,For Rent,4,3,Lahore,7.0,DHA Defence,200000
House,For Rent,6,5,Lahore,20.0,DHA Defence,300000
House,For Rent,5,4,Lahore,8.0,Judicial Colony,90000
House,For Rent,4,3,Lahore,5.0,DHA Defence,70000
House,For Rent,9,8,Lahore,40.0,DHA Defence,500000
Flat,For Rent,1,1,Lahore,2.0,Bahria Town,40000
Flat,For Rent,1,1,Lahore,2.3,Bahria Town,45000
Flat,For Rent,2,2,Lahore,3.1,Bahria Town,35000
